ID,TCGA_DD_A1EC_01A,TCGA_ES_A2HT_01A,TCGA_DD_A3A8_01A,TCGA_DD_A1EL_01A,TCGA_DD_A3A3_01A,TCGA_EP_A3RK_01A,TCGA_DD_A11D_01A,TCGA_DD_A39X_01A,TCGA_DD_A11C_01A,TCGA_DD_A11B_01A,TCGA_DD_A1EG_01A,TCGA_BD_A3EP_01A,TCGA_DD_A114_01A,TCGA_DD_A116_01A,TCGA_DD_A1EI_01A,TCGA_G3_A3CH_01A,TCGA_BD_A2L6_01A,TCGA_DD_A3A5_01A,TCGA_DD_A113_01A,TCGA_DD_A11A_01A,TCGA_BC_A216_01A,TCGA_DD_A119_01A,TCGA_BC_A10Y_01A,TCGA_DD_A1EJ_01A,TCGA_DD_A118_01A,TCGA_DD_A1EH_01A,TCGA_BC_A110_01A,TCGA_EP_A26S_01A,TCGA_DD_A39V_01A,TCGA_DD_A39W_01A,TCGA_DD_A3A2_01A,TCGA_DD_A3A4_01A
Class,0,1,2,0,1,2,0,0,2,2,1,1,0,0,0,0,2,0,0,1,2,0,1,1,1,0,2,0,1,0,1,0
AIM1202,1500,276,420,390,27,554,563,180,2347,2709,380,650,594,230,414,524,1268,875,112,1141,2181,73,1753,1018,85,173,346,1403,378,93,855,785
C2orf63130162,77,7,42,21,10,24,7,19,39,27,25,19,7,35,25,49,13,8,8,21,41,20,52,78,33,32,15,37,5,23,30,31
CBR484869,1802,936,2436,933,695,1019,1046,562,2337,2485,757.01,442,427,485,1441.03,1755,1966,890,815.02,1158,2154,651,2424,2296,2843,813,842,2536,429,1598,2326,1217
CLDN1610686,5,0,12,9,1,5,73,1,80,117,48,10,10,1,42,45,7,31,23,60,18,0,45,113,18,173,3,47,0,4,102,17
CRY21408,3094,1483,6408,2702,761,1913,2656,1294,4787,11021,3333,2552,1518,4064,3167,4946,4776,4381,2561,3292,6465,1862,7394,3022,4619,7574,975,9044,1443,3031,1823,997
DYNC1H11778,17003,7519,3682,17036,3636,9807,3916,7659,10226,5808,10773,13691,18149,7892,12135,5219,6841,6016,14376,6316,7978,6124,8696,11270,13859,17134,2726,9089,6216,11786,4952,3982
MME4311,117,144,18929,34037,3,11889,125,68,2439,1557,4,44,1020,8639,249,1,3673,374,9,44,1791,12,1180,89,23,9,228,4245,5225,4792,2262,4
PDP154704,965,281,51,698,171,97,32,351,195,113,114,189,626,514,284,330,143,117,1317,153,303,390,149,116,355,499,326,197,421,1355,96,280
PRSS35646,26,332,1,8,459,6,235,1068,640,570,1134,756,4,59,10,177,5335,0,235,159,1981,343,2268,148,0,1377,143,1,1,0,272,106
RAB1764284,2265,3330,4805,760,2680,2318,1772,7337,3557,6141,3378,1097,645,1276,1626,3513,6513,7111,1457,3514,1464,4741,4045,1409,8378,1458,1603,7341,1097,2157,3874,2026
SPTBN551332,30.13,40,8,23,87,66,13,15,64,115,33,49.99,16,54,248.85,19,36,16,18.05,24,97.43,31,34,38,9,11,36.33,172.76,46,7,52.97,0
TOR1AIP2163590,1365,299,1579,1246,324,424,838,169,2261,5182,918,330,1187,229,1532,1920,252,356,4026,1776,1650,308,1210,1033,4836,5185,184,2706,113,1398,306,497
XDH7498,173,2356,1556,713,113,465,6647,1735,10275,9063,2925,366,498,1979,4776,8551,7449,4011,6225,8711,5296,899,3692,1568,3951,1651,1207,1992,40,29,5179,1551
ZNF564163050,644,184,264,390,187,293,161,212,538,548,354,392,305,392,396,305,587,415,294,287,453,496,856,711,770,930,127,679,331,344,420,215
ZNF75079755,1,0,4,3,0,2,1,1,7,5,4,1,3,0,4,6,0,0,2,4,39,1,0,0,3,3,2,0,2,0,0,1